,reviews
1150,"

  Mostly a low quality version of what we used to get  under the same label. Won’t recommend this again. Being a doctor with exposure risk, life is at stake. Thread snaps all of a sudden. Nose clip is stiff.

"
1151,"

  I got this product with perfect and seald condition, who got a damaged product that is unfortunate but it's not a regular mistake, so you can buy it and alsoto check it's authentication got to cdc website and search woth there TC no. you will get the brand name venus and also they provides lot no. which make it original, so buy without doubt, it's much good.

"
1152,"

  I doubt about the originality of the product. I hv purchased earlier the same product venus N95 mask which was much superior than the mask purchased from this seller. It seems very cheap in quality and material..

"
1153,"

  I have venus masks purchased from a Hospital dispensary and the quality of these masks are nothing compared to the masks purchased from the Hospital dispensary.  One mask's elastic band got removed by just pulling it over my face for the first time.  That's how substandard these masks are.  I don't even feel they are original venus masks.

"
1154,"

  I always use Venus 4400 N95 mask from the last 8 years. I genetally buy the product from medical store bt due to some issue I had ordered this item online first time. And found that it is not a original Venus 4400 N95 mask. It can be easily seen by its product quality.

"
1155,"


  Your browser does not support HTML5 video.


   Looks like duplicate piece of Venus. I have used this mask in past they used to be a very durable. But this time mask thread broken on first day ( video attached). This happen three times. Thread to mask connection is weak.

"
1156,"

  Bought through Cloudtail,  costly but orignal ..  Rs200/piece

"
1157,"

  Almost alll the packets are open. None of the packets are sealed. Can't make out whether they are used or fresh. Never trust online for medical products.

"
1158,"

  Got todayPack of 10Nice product with original niosh certificationClean packingHighly Recommended

"
1159,"

  Actually i don't know if it is original venus or fake usually I trust venus co. Product but this time bit disappointed becouse after using one day it looks so poor quality I am sorry and suggess people not to West your money.

"
1160,"

  Product is defective with holes in mask near strap punch area. Bought close to 20 masks after first 5 masks were good. Vendor is cheating on repeat orders. Playing with people lives in pandemic.Vendor : “Electrama“

"
1161,"

  Quality is much reduced, elastic is very tight and it breaks easily from the joint. I purchased because initially I had good experience but when I ordered again it comes with cheap quality.

"
1162,"

  Very cheap material..Thread is very loosely pasted to the mask, when I try to tiet it, it removed from the mask.. every mask has same problem..I never recommended any one to buy this product...

"
1163,"

  Although I was quite satisfied with my previous purchases of these masks, the recent set of masks delivered hugely disappointed me. Straps of multiple masks got torn on attempting to wear them,thereby rendering them useless.

"
1164,"

  Not good, the bands are very lightly stucked to the mask. A little strain during removing and wearing the mask, causing bands to come out from mask

"
1165,"

  It's not original Venus products they are poor quality I don't know why Amazon deceiving customers like this I felt very upset with Amazon

"
1166,"

  D nose pad is not steel like it is in original n95 venus

"
1167,"

  Good quality. Universal fitting

"
1168,"

  best quality masks i have ordered again twice

"
1169,"

  although a good brand but prices vary a lot, some vendors are giving it for 90 rs ,I think the masks I got from you were overpriced ,this should not happen when we have a covid pandemic

"
1170,"

  Quality of mask as well as strap is not good at all. I have been using it since covid lock down. But, this is a very cheap in quality ....

"
1171,"

  Got duplicate onesAnd they did not return it also

"
1172,"

  Not seems original venus maskNo lot number seen even yellow strips are broken.not original venus.last time mask were good.this time I got bad mask

"
1173,"

  The straps are very weak. Easily gets torn while putting the mask on.

"
1174,"

  Quality is detoriated as compared to previous

"
1175,"

  Nice product. It's washable

"
1176,"

  Not a genuine product. Not like the the same product I purchased from a hospital store earlier.

"
1177,"

  Not original

"
1178,"

  It's not tha original Vinus product as I used before. It's cheap quality thread does not last for 1 hour. Pathetic product.

"
1179,"

  Name of the seller - Healthclues. Its a fake Venus product.  Nose clips are loose. The mask is not fitting well on face.

"
1180,"

  Strings get detached. Not all sellers are genuine!!Comfort and fit are good.

"
1181,"

  String is very low quality

"
1182,"

  It isn't thick. Plus few masks didn't come in sealed package. Few packages inside were open.

"
1183,"

  dont buy its duplicate

"
1184,"

  Excellent

"
1185,"

  Awsome and nice mask

"
1186,"

  Good for men

"
1187,"

  V bad quality ,,, hole in mask, stains can b seen on few masks. Looks fake.

"
1188,"

  Charged for 10 masks but delivered only 5. This is nothing but a cheatingOtherwise material is really nice.

"
1189,"

  It was a very poor product. The straps broke regularly and inside of mask was full of loose fibres irritating the nose

"
1190,"

  out of 10 mask only 9 nos had venus seal

"
1191,"

  Original N95 mask with NIOSH certification.

"
1192,"

  Looks like a Duplicate, not good......

"
1193,"

  Product cover was not sealed . Open pack of 10 masks , no idea now about the quality and sterility

"
1194,"

  Best genuine N-95 with NIOSH certification.

"
1195,"

  The strings attached will break in a second once you try to wear

"
1196,"

  Good products

"
1197,"

  Worst quality. Straps are easily torn and of shorter lengths. Don't buy this.

"
1198,"

  Quality is coming down....pl make sure that original venus mask is able to supply....

"
1199,"

  Not very good quality

"
1200,"

  Worst product

"
1201,"

  It really has a bad odour.

"
1202,"

  Product is damaged and not able to replace also. Waste of money

"
1203,"

  Only 9 received

"
1204,"

  Poor quality product. Looks fake

"
1205,"

  Very good mask...Go for it... No damage in any piece

"
1206,"

  very worst masks in the pack. out of 10 masks, 6 are damaged

"
1207,"

  Not original venus masks. Irritating inside stuff and gets me allergic

"
1208,"

  Some of the masks do not have a headband adjustment mechanism.

"
1209,"

  Fake product , diffected mask , poor quality mask

"
1210,"

  Packing very unhygienic.not satisfied.cost very high.

"
1211,"

  Nose pin is a real problem

"
1212,"


  Your browser does not support HTML5 video.


   Poor

"
1213,"

  Fake product . Quality compromosed .

"
1214,"

  Poor quality. Grip is also not good

"
1215,"

  Like the product.

"
1216,"

  Nice product

"
1217,"

  Poor quality and fake brand

"
1218,"

  Worest item quality less

"
1219,"

  Very worst poor quality

"
1220,"

  Worst quality ever

"
1221,"

  Third class quality.

"
1222,"

  Good in quality.

"
1223,"

  Poor product

"
1224,"

  Defective, useless

"
1225,"

  Nice

"
1226,"

  Good quality Masks ...have NIOSH standards so no need to worry about its efficiency...it is good with nose clip and adjustable head straps to tighten it according to ur size of head

"
1227,"

  Venus face masks are good, but the packing of the 10 nos. masks were not up to the mark. I feel each face masks should have plastic pouch rather than all masks are packed  into one plastic cover.

"
1228,"

  good product. niosh approved written on it. hope they are not cheating. strap is nice and adjustable.

"
1229,"

  Extremely cheap quality, not even properly packed.Doesn't look like a good brand.Should be sold for less than rs. 50 per mask.Also this product can't be returned.So please DO NOT BUY!!!

"
1230,"

  This is really good. Being a doctor myself I need to use it in a lot of situations and it has served me very well. Fit and finish is extremely good.

"
1231,"

  Venus mask never let you compromised on your protection .

"
1232,"

  Good to use

"
1233,"

  Good fit

"
1234,"

  Useless product this is not  a original one  toooo bad waste of money please don't buy

"
1235,"

  Good fit

"
1236,"

  Useless product this is not  a original one  toooo bad waste of money please don't buy

"
1237,"

  Received product as described. People have to read about the types of respirators before ordering.

"
1238,"

  I have no idea whether it is real or fake... but as the way of packaging was done, it looks like fake product. Although masks are somewhat ok like. But i think a trusted company like venus never sell their product without a simple packaging.

"
1239,"

  Average qualityIndian products Can never match the brands and quality like 3M.

"
1240,"

  This is a duplicate product. A fake product, not a Venus product.Kindly don't buy this.Made of poor materials, low quality , string got dettached with just one wear.

"
1241,"

  Good genuine product ...good packing ....thank you

"
1242,"

  Fake product....The marks is not satisfying at all.

"
1243,"

  Good

"
1244,"

  The mask does not suit on everybody's face. It will fit only till m size so be cautious while purchasing

"
1245,"

  Very poor quality previously many times I have bought it but had good experience but this dealer is 👎🏻👎🏻👎🏻

"
1246,"

  Best mask ...having been using for a long time. Good design with no strain on the ears. Can hv more colours.

"
1247,"

  Received product as described. People have to read about the types of respirators before ordering.

"
1248,"

  I have no idea whether it is real or fake... but as the way of packaging was done, it looks like fake product. Although masks are somewhat ok like. But i think a trusted company like venus never sell their product without a simple packaging.

"
1249,"

  Average qualityIndian products Can never match the brands and quality like 3M.

"
1250,"

  This is a duplicate product. A fake product, not a Venus product.Kindly don't buy this.Made of poor materials, low quality , string got dettached with just one wear.

"
1251,"

  Good genuine product ...good packing ....thank you

"
1252,"

  Fake product....The marks is not satisfying at all.

"
1253,"

  Good

"
1254,"

  The mask does not suit on everybody's face. It will fit only till m size so be cautious while purchasing

"
1255,"

  Very poor quality previously many times I have bought it but had good experience but this dealer is 👎🏻👎🏻👎🏻

"
1256,"

  Best mask ...having been using for a long time. Good design with no strain on the ears. Can hv more colours.

"
1257,"

  It is a fake product, doesn't cost more than 30 rs/ selling duplicate products.

"
1258,"

  Very very poor quality.stiches in center not comfortable to wear.

"
1259,"

  Very soft and cost effective

"
1260,"

  It is a duplicate and defective mask

"
1261,"

  Excellent product with very good quality used. I refer people to use this product.

"
1262,"

  Good

"
1263,"

  Good product but packaging is very bad.. world worst packing..

"
1264,"

  Duplicate....not original venus....loose fit and stapler used...

"
1265,"

  The side clip broke while adjusting

"
1266,"

  A fake product not a Venus product.

"
1267,"

  Bad quality

"
1268,"

  Ordered 10 numbers. But  received only 2.

"
1269,"

  Really very comfortable...n safe..

"
1270,"

  Best mask of year

"
1271,"

  Good

"
1272,"

  Like packing

"
1273,"

  Good

"
1274,"

  Elastic thread loose

"
1275,"

  Main pictures showed big size mask...But got small size mask...Cheating.....Very bad....Amazons loses  it's worth.... bad ..cheat

"
1276,"

  Definitely it's not a venus company masks..it was torn wen I got delivered..very poor quality..plz don't buy this..its fake

"
1277,"

  First impression:Looks genuine and authentic. The exhalation valve and the adjustable straps are pretty convenient. Overall, these are good masks for the price.  Removed 1 star for shoddy packaging.

"
1278,"

  I'm a doctor using N95 masks for work related hazard. These masks are original, comfortable to wear for long time due to the presence of exhalation valve. Competitively priced compared to open market. Overall satisfied. Buy from seller Sundaram's for original masks

"
1279,"

  This is free size but not suitable for sealers face..this is perfectly suitable for medium size faces to bigger faces.. actually this product is purchased for my mother...but finally am using..mostly gents prefer this product..don't buy ladies

"
1280,"

  Absolutely fake n95 masks. Total waste of money. Please do not buy this from Yugan Lifecare. Firstly it came in a very flimsy packet. The packaging of the mask was the entire packaging altogether. Secondly, its not real n95. There is no certification too. So please dont buy this. Its just a waste of money.

"
1281,"

  The product feels very good quality and it came packed in individual bags - all sealed.I now suspect that all the other Venus masks I have been purchasing (N95) have probably not been authentic.The quality and printing on this one and feel of the material and even straps are one of the best I have come across in the many masks I have purchased over the pandemic.I bought these from Healthclues.

"
1282,"

  The product is genuinely good. It’s comfortable, there is no fogging of the specs, breathing is clear and I hope it protects adequately. Mask sits firmly on the skin.

"
1283,"

  I have bought pack of 5 venus N95,But 3 pieces stitches had broken.Stitches are not good and 1piece Laastic is short. Bad product

"
1284,"

  This N 95 mask is not all comfortable to your ear and face. This product is costly if you take into account their quality.I am using 2 right now and there thread came out  after 2 days of use. I do not think that it is an N 95 mask as the valve is of inferior quality.

"
1285,"

  Amazing MASK.. good comfort... Worth buying.. I am a doctor at Govt hospital Goa.. find the mask amazing to use on duties

"
1286,"

  Definitely it's not a venus company masks..it was torn wen I got delivered..very poor quality..plz don't buy this..its fake

"
1287,"

  First impression:Looks genuine and authentic. The exhalation valve and the adjustable straps are pretty convenient. Overall, these are good masks for the price.  Removed 1 star for shoddy packaging.

"
1288,"

  I'm a doctor using N95 masks for work related hazard. These masks are original, comfortable to wear for long time due to the presence of exhalation valve. Competitively priced compared to open market. Overall satisfied. Buy from seller Sundaram's for original masks

"
1289,"

  This is free size but not suitable for sealers face..this is perfectly suitable for medium size faces to bigger faces.. actually this product is purchased for my mother...but finally am using..mostly gents prefer this product..don't buy ladies

"
1290,"

  Absolutely fake n95 masks. Total waste of money. Please do not buy this from Yugan Lifecare. Firstly it came in a very flimsy packet. The packaging of the mask was the entire packaging altogether. Secondly, its not real n95. There is no certification too. So please dont buy this. Its just a waste of money.

"
1291,"

  The product feels very good quality and it came packed in individual bags - all sealed.I now suspect that all the other Venus masks I have been purchasing (N95) have probably not been authentic.The quality and printing on this one and feel of the material and even straps are one of the best I have come across in the many masks I have purchased over the pandemic.I bought these from Healthclues.

"
1292,"

  The product is genuinely good. It’s comfortable, there is no fogging of the specs, breathing is clear and I hope it protects adequately. Mask sits firmly on the skin.

"
1293,"

  I have bought pack of 5 venus N95,But 3 pieces stitches had broken.Stitches are not good and 1piece Laastic is short. Bad product

"
1294,"

  This N 95 mask is not all comfortable to your ear and face. This product is costly if you take into account their quality.I am using 2 right now and there thread came out  after 2 days of use. I do not think that it is an N 95 mask as the valve is of inferior quality.

"
1295,"

  Amazing MASK.. good comfort... Worth buying.. I am a doctor at Govt hospital Goa.. find the mask amazing to use on duties

"
1296,"

  Quality is good But size is too big .....

"
1297,"

  It's difficult for person wearing spectacles because eyeglasses become foggy. Need to glasses while wearing mask.

"
1298,"

  Poor stitching. Waste if money

"
1299,"

  The venus N95 mask with valve is very hard on nose and hurts a lot if one wears it for a long time.....on a whole it is a complete waste of money......highly uncomfortable

"
1300,"

  The quality remains intact,so does the packaging. Wish you offered more pieces in a better deal for people who require such products regularly(like Healthcare workers)

"
1301,"

  Good product! Doesn't fog my glasses. Works well.

"
1302,"

  fitting and selling good

"
1303,"

  Good mask, but price is high

"
1304,"

  This product is good comfortable and nice breathing too much comfortable need more finishing otherwise it's very good

"
1305,"

  Very useful

"
1306,"

  The masks I got were genuine.Seller : Healthclues

"
1307,"

  Not an original product.

"
1308,"

  Good

"
1309,"

  Amazing

"
1310,"

  Did not liked. Its respirator is quite poor quality. Direct air come in and out or respirator without filteration. It is very dangerous.

"
1311,"

  good

"
1312,"

  Product meets the expectations and requirements. Comfortable to wear.

"
1313,"

  Perfectly fits on and seals the face, can be worn for hours without feeling suffocated.

"
1314,"

  Not at all worth, adjustable strap broken  within two days of time

"
1315,"

  Genuine product.Yes these are N95 masks.

"
1316,"

  Not comfortable very loose from chin side. I need to put double mask to get fitted, u have sepified wrong size for adults

"
1317,"

  Not feel comfortable when you wear it more than 1hourd..lace not comfortable

"
1318,"

  Comfortable

"
1319,"

  Product description says Grey coliur but delivered masks are of white color.

"
1320,"

  Seems old used ones with old used respirators given !

"
1321,"

  Good product. Worth buying.

"
1322,"

  Good product

"
1323,"

  Not comfortable,to much tight on the nose

"
1324,"

  Worrest

"
1325,"

  Very nice fit. Breathability is really good.

"
1326,"

  Original Venus N95.

"
1327,"

  Highly recommended .

"
1328,"

  Good

"
1329,"

  Fake masks

"
1330,"

  Worth the money!!

"
1331,"

  Good. Go for it

"
1332,"

  Excellent

"
1333,"

  good quality

"
1334,"

  Valve mask will be banned by the govt. Very soon. As they do dont stop the spread of virus.

"
1335,"

  Mask is good but received only 2 mask instead of 5

"
1336,"

  Not good

"
1337,"

  After spending quite a sum, was surprised to see a long hair strand inside the packet!! Keeps on wondering about the sanitary condition!! Bought the item from cliudtail india.Otherwise the item seemed genuine.

"
1338,"

  How pathetic can a product be.Amazon is not working on good quality mask sellers .Strings broke the moment I wore the mask.Money got wasted once again and that too on masks.I should have learnt from my first mistake and shouldn't have bought mask again from Amazon.Wont repeat it again.Once again I would like to add PATHETIC QUALITY MASKS.

"
1339,"

  Excellent product by venus ,, absolutely genuine n95 product . As a doctor I am pretty impressed with the strings that can be tightened according to your head circumference. Great purchase.

"
1340,"

  Not a good product. After two use the string has come out. Received a poor quality or a old stock.

"
1341,"

  Very Worst Product i had purchased .The red colour band of the mask is going colour and It is breaking easily i had purchaed 2 no on offer they are very bad .In the same Yellow thread is Good

"
1342,"

  Genuine N95 mask. Good stuff, but little expensive.

"
1343,"

  The product is duplicate.The string breaks on first use.Not sure how much protection it must be giving..Never buy!!

"
1344,"

  In this price quality is not good. it's too costly

"
1345,"

  Too bad. Strap torn and mask torn like paper. Don't buy.

"
1346,"

  Not up to the Mark...

"
1347,"

  After spending quite a sum, was surprised to see a long hair strand inside the packet!! Keeps on wondering about the sanitary condition!! Bought the item from cliudtail india.Otherwise the item seemed genuine.

"
1348,"

  How pathetic can a product be.Amazon is not working on good quality mask sellers .Strings broke the moment I wore the mask.Money got wasted once again and that too on masks.I should have learnt from my first mistake and shouldn't have bought mask again from Amazon.Wont repeat it again.Once again I would like to add PATHETIC QUALITY MASKS.

"
1349,"

  Excellent product by venus ,, absolutely genuine n95 product . As a doctor I am pretty impressed with the strings that can be tightened according to your head circumference. Great purchase.

"
1350,"

  Not a good product. After two use the string has come out. Received a poor quality or a old stock.

"
1351,"

  Very Worst Product i had purchased .The red colour band of the mask is going colour and It is breaking easily i had purchaed 2 no on offer they are very bad .In the same Yellow thread is Good

"
1352,"

  Genuine N95 mask. Good stuff, but little expensive.

"
1353,"

  The product is duplicate.The string breaks on first use.Not sure how much protection it must be giving..Never buy!!

"
1354,"

  In this price quality is not good. it's too costly

"
1355,"

  Too bad. Strap torn and mask torn like paper. Don't buy.

"
1356,"

  Not up to the Mark...

"
1357,"

  Fake product😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡

"
1358,"

  Damage product total money loss

"
1359,"

  Don't buy it.

"
1360,"

  The straps rip off even with careful handling.Venus V4400 original mask has red straps (can be seen on their website) and the photo shown on amazon also has red straps. But the product delivered has yellow straps. Even the manufacturer twitter handle has posted that only the masks with red straps are original and the mask with yellow straps are fake (see the photo I have posted).Do not buy. Surprised that this was sold by Cloudtail.

"
1361,"

  All three masks Just on my first usage one string which holds my head came off and mask became un usable. Only one mask usable As the return period is over I can't return them and I am in loss of 200×3= 600 rupees,

"
1362,"

  It is the best mask that I have ever purchased till date. I have gifted two pairs to my relatives. I would love to order it again.

"
1363,"

  Bought from two different sellers. Those from Luxtronic technologies Dehli were individually and very nicely packed by Venus.But those from Shiv Enterprize Gujrat through safety shelter were without individual packing. I dont know how many infected hands might have handled them? They had  hand packed these masks as if these were to be thrown away after use. Absolutely disappointed by the safety center.

"
1364,"

  Good mask. Wearing this mask does not cause any difficulty in breathing. The respiratory valve works very well, there is no gap.

"
1365,"

  Packaging was terrible.Just place 5 masks and sealed polythene bag.No company letter instruction no inner cover nothing .But masks are good

"
1366,"

  Packaging was extremely awful. The 5 masks were just stuffed in a small cardboard box and one of the masks had its purifier seal tampered due to the immense pressure inside the box. Overall the masks are good. The Nose Clip perfectly fits and stays in position. No problem in breathing. Good Product.

"
1367,"

  Very comfortable and they are unlike cloth masks. Perhaps airborne viruses can be stopped with these. Go for it.

"
1368,"

  I am totally disappointed with these masks wastage of money and don't buy these masks

"
1369,"

  Good product at a reasonable price

"
1370,"

  Very bad product.. I think it is not original.. valve is defective pic attached.. strap removed before use.. don't buy...

"
1371,"

  - Complete protection sealing the area of nose and mouth.- Valved Respirator allows easy breathing.- Washable.- No fogging of the eye wear.

"
1372,"

  I had ordered 3 packs. 1 Pack having 5 Masks. Delivery received is of 3 Masks instead of 15 Masks.

"
1373,"

  Bought from two different sellers. Those from Luxtronic technologies Dehli were individually and very nicely packed by Venus.But those from Shiv Enterprize Gujrat through safety shelter were without individual packing. I dont know how many infected hands might have handled them? They had  hand packed these masks as if these were to be thrown away after use. Absolutely disappointed by the safety center.

"
1374,"

  Good mask. Wearing this mask does not cause any difficulty in breathing. The respiratory valve works very well, there is no gap.

"
1375,"

  Packaging was terrible.Just place 5 masks and sealed polythene bag.No company letter instruction no inner cover nothing .But masks are good

"
1376,"

  Packaging was extremely awful. The 5 masks were just stuffed in a small cardboard box and one of the masks had its purifier seal tampered due to the immense pressure inside the box. Overall the masks are good. The Nose Clip perfectly fits and stays in position. No problem in breathing. Good Product.

"
1377,"

  Very comfortable and they are unlike cloth masks. Perhaps airborne viruses can be stopped with these. Go for it.

"
1378,"

  I am totally disappointed with these masks wastage of money and don't buy these masks

"
1379,"

  Good product at a reasonable price

"
1380,"

  Very bad product.. I think it is not original.. valve is defective pic attached.. strap removed before use.. don't buy...

"
1381,"

  - Complete protection sealing the area of nose and mouth.- Valved Respirator allows easy breathing.- Washable.- No fogging of the eye wear.

"
1382,"

  I had ordered 3 packs. 1 Pack having 5 Masks. Delivery received is of 3 Masks instead of 15 Masks.

"
1383,"

  Good product quality...Grey mask and yellow mask both are of same quality..But heat pesting of yellow mask is better...

"
1384,"

  I always wear Venus mask. They are durable and washable.

"
1385,"

  Excellent!

"
1386,"

  Good

"
1387,"

  The filter on this mask is of very poor quality, it opens completely when you breath out. Not suitable for use in a raging pandemic

"
1388,"

  You can use whole day without any pain at ears. Quality is also very good.

"
1389,"

  Look is good. But packaging is not good. I think it is not original venus brand

"
1390,"

  Best mask

"
1391,"

  Fake product printing is low quality and packing is poor same as duplicate products

"
1392,"

  Good quality

"
1393,"

  Good product at reasonable price

"
1394,"

  Worth buying..must be safest of all Mask types

"
1395,"

  It is an amazing product from Amazon.

"
1396,"

  Suitable for all day wear

"
1397,"

  Good genuine product...

"
1398,"

  Poor quality not satisfied at all

"
1399,"

  great comfort mask

"
1400,"

  What is the Protection ?

"
1401,"

  Very bad product .i had paid for 2 masks and they only sent 1 .thereafter,  no refund nothing ....never buy this product .

"
1402,"

  some of the masks have a broken inner layer. the makers should be punished strictly.i was just wearing them beleiving that venus would be up to standards.i was  rather surprised to see manufacturing defects in the inner layer of the mask.

"
1403,"

  Some have complained about the bad quality of the product. The Venus V4400 N95 mask I bought from IndianaStore are excellent. They may not be the cheapest but the quality of their item is very good.

"
1404,"

  I  recieved  Venus V4400 n 95 masks but very poor quality

"
1405,"

  Package was good. Each mask comes with Individually sealed cover. Received red strap mask. I am a doctor using this venus v4400 mask for the past  four months. So far quality is good.

"
1406,"

  Request to all please do not but this product at from this seller. Quality is very very poor. Some of the mask dont have nose PIN inside. Again requesting do not buy this product atleast from this seller. Same product Venus N95 4400 mask from other seller is very good quality.

"
1407,"

  I bought pack of 50, so that I can get original packing. It was shipped in individual packing. So not sure if they are original or not. Also, not sure they are hygienically okay, as some one re-packed it.

"
1408,"

  Nose pin doesnt fit properly.Doesn't come in original venus packing.Suitable for single use only.I bought from Indiana store.No issues with delivery.Product not returnable.

"
1409,"

  Very poor quality

"
1410,"

  This time most of the masks have short slings...And the glue is giving off...I used 20 from this package so far out of which 7 are wasted.Earlier orders were good

"
1411,"

  Lot of issues in the mask with 2 out of 5 masks strings snapping at the joint when wearing. Have lost atleast 10masks till now without using them. Never expected Venus to have such quality issues.

"
1412,"

  some of the masks have a broken inner layer. the makers should be punished strictly.i was just wearing them beleiving that venus would be up to standards.i was  rather surprised to see manufacturing defects in the inner layer of the mask.

"
1413,"

  Some have complained about the bad quality of the product. The Venus V4400 N95 mask I bought from IndianaStore are excellent. They may not be the cheapest but the quality of their item is very good.

"
1414,"

  I  recieved  Venus V4400 n 95 masks but very poor quality

"
1415,"

  Package was good. Each mask comes with Individually sealed cover. Received red strap mask. I am a doctor using this venus v4400 mask for the past  four months. So far quality is good.

"
1416,"

  Request to all please do not but this product at from this seller. Quality is very very poor. Some of the mask dont have nose PIN inside. Again requesting do not buy this product atleast from this seller. Same product Venus N95 4400 mask from other seller is very good quality.

"
1417,"

  I bought pack of 50, so that I can get original packing. It was shipped in individual packing. So not sure if they are original or not. Also, not sure they are hygienically okay, as some one re-packed it.

"
1418,"

  Nose pin doesnt fit properly.Doesn't come in original venus packing.Suitable for single use only.I bought from Indiana store.No issues with delivery.Product not returnable.

"
1419,"

  Very poor quality

"
1420,"

  This time most of the masks have short slings...And the glue is giving off...I used 20 from this package so far out of which 7 are wasted.Earlier orders were good

"
1421,"

  Lot of issues in the mask with 2 out of 5 masks strings snapping at the joint when wearing. Have lost atleast 10masks till now without using them. Never expected Venus to have such quality issues.

"
1422,"

  Very irritating as nose metal strip keep poking the nose very painfully.

"
1423,"

  Theere are so many defects present in the masks Nose clip not aligned  , head band is broken , head band material quality is very poor , it seems that seller mixed rejected masks with good masks

"
1424,"

  I got this product and it was damaged and asked customer care to replace they are asking to go and compliant wherever u want I am least bothered and I can’t help you out in this

"
1425,"

  Packaged individually in sealed poly packs. Box contains 10-20 masks. Finally packaged in another box.

"
1426,"

  Good quality but high cost

"
1427,"

  The quality of the masks are very bad , the straps come off easily. even the number of masks were not as advertised. I got only 14 nos instead of 25 nos.

"
1428,"

  Looks genuine Venus brand. Each piece is packed separately. Good comfort.

"
1429,"

  Material in short in supply and without originAL packing given us the impression that poor quality  material has been supplied in place o original one

"
1430,"

  It's smaller in  size... Compared to other venus masks sold by other sellers

"
1431,"

  Serves the purpose.

"
1432,"

  Quality is very bad...you are taking money but not doing your duty to provide best products

"
1433,"

  Average , smaller in size, I ordered 50 but in packed found 48 .

"
1434,"

  Very loose straps and it’s get broken very easily, Venus has lost the credibility.

"
1435,"

  Comfort but the straps keep tearing verry easily not durable

"
1436,"

  Very bad quality I think it's a duplicate mask

"
1437,"

  Good

"
1438,"

  Completely duplicate item

"
1439,"

  Good quality masks and nicely packaged.

"
1440,"

  Fake product

"
1441,"

  Good quality masks and nicely packaged.

"
1442,"

  Fake product

"
1443,"

  All the plastic covers of the masks were opened. Had skin rash after using the masks. They were definitely used masks sold by the merchant. The masks quality were of extremely poor quality.

"
1444,"

  Excellent product, as described. Using this from Indiana store during the entire pandemic. Individual item is sealed and again packed securely in box containing ten each. Reliable seller with prompt service. Definitely suggest friends to order from the seller.

"
1445,"

  Strings broken bad quality

"
1446,"

  Amazing level of protection yet so comfortable! Would recommend this mask to everyone esp. Medical professionals!

"
1447,"

  Worst product delivered. I am surprised that this is NIOSH approved.It shoukdn't even get 1 star.

"
1448,"

  The quality of masks is not that good as it was last year. Nose pin doesn’t fix properly.

"
1449,"

  All are defective. Pl. do not purchase from this vendor.

"
1450,"

  .strap of the mask easily broke from attachment

"
1451,"

  Very nice product

"
1452,"

  All the plastic covers of the masks were opened. Had skin rash after using the masks. They were definitely used masks sold by the merchant. The masks quality were of extremely poor quality.

"
1453,"

  Excellent product, as described. Using this from Indiana store during the entire pandemic. Individual item is sealed and again packed securely in box containing ten each. Reliable seller with prompt service. Definitely suggest friends to order from the seller.

"
1454,"

  Strings broken bad quality

"
1455,"

  Amazing level of protection yet so comfortable! Would recommend this mask to everyone esp. Medical professionals!

"
1456,"

  Worst product delivered. I am surprised that this is NIOSH approved.It shoukdn't even get 1 star.

"
1457,"

  The quality of masks is not that good as it was last year. Nose pin doesn’t fix properly.

"
1458,"

  All are defective. Pl. do not purchase from this vendor.

"
1459,"

  .strap of the mask easily broke from attachment

"
1460,"

  Very nice product

"
1461,"

  Material is good, comfortable. Metallic clip on nose very appropriate for short people/ short nose. Covers well. Only problem I faced was ordered pack of 15, received pack of 14. I had no time to ask for replacement, so accepted. Photo of sealed pack is attached here.

"
1462,"


  Your browser does not support HTML5 video.


   I am a regular customer of venous mask....but since last two orders, the quality of Masks are very poor.....It’s disappointing

"
1463,"

  1month back ordered Sam that is so good , ordered again this tym used r somehow all masks are having dust not finished wellin a bad ConditionWaste of money

"
1464,"


  Your browser does not support HTML5 video.


   Edges are pealed off, inner layer is not good fabric releasing lot of fibre while breath, suffocating, smells benzoin odour, haphazard stitching edges. It’s texture & seal arise suspicious. See Video as proof

"
1465,"

  The masks are good...seller Indiana gives quality masks.

"
1466,"

  One of the best N95 masks available in India..I am a doctor by profession...have been using them for past 6 to 7 months...offers good protection

"
1467,"

  These are not genuine masks. Not recommended at all.

"
1468,"

  Good mask . Can be reused after keeping in Sun for a few hours .

"
1469,"

  The strings break almost immediately when putting the mask. Very poor quality. Shouldn’t be listed on Amazon! No quality check.

"
1470,"

  Quality really not upto the mark this time. Ordered in the past as well and those had a really good build. This time the straps come off while you try to wear them or get them off.

"
1471,"

  Material is good, comfortable. Metallic clip on nose very appropriate for short people/ short nose. Covers well. Only problem I faced was ordered pack of 15, received pack of 14. I had no time to ask for replacement, so accepted. Photo of sealed pack is attached here.

"
1472,"


  Your browser does not support HTML5 video.


   I am a regular customer of venous mask....but since last two orders, the quality of Masks are very poor.....It’s disappointing

"
1473,"

  1month back ordered Sam that is so good , ordered again this tym used r somehow all masks are having dust not finished wellin a bad ConditionWaste of money

"
1474,"


  Your browser does not support HTML5 video.


   Edges are pealed off, inner layer is not good fabric releasing lot of fibre while breath, suffocating, smells benzoin odour, haphazard stitching edges. It’s texture & seal arise suspicious. See Video as proof

"
1475,"

  The masks are good...seller Indiana gives quality masks.

"
